Position,Quality,Hatch,Escape,Condition,old_condition
1,1,7,179,lin42_ab,
2,1,8,184,lin42_ab,
3,1,10,200,lin42_ab,
4,1,16,215,lin42_ab,
5,1,2,206,lin42_ab,
6,1,7,177,lin42_ab,
7,1,20,196,lin42_ab,
8,1,7,190,lin42_ab,
9,1,17,217,lin42_ab,
10,0,,,lin42_ab,
11,0,,,lin42_ab,
12,1,14,191,lin42_ab,
13,1,9,142,lin42_ab,
14,1,11,182,lin42_ab,
15,0,,,lin42_ab,
16,1,4,181,lin42_ab,
17,1,15,198,lin42_ab,
18,0,,,lin42_ab,
19,1,18,182,lin42_ab,
20,0,,,lin42_ab,
21,0,,,lin42_ab,
22,0,,,lin42_ab,
23,0,,,lin42_ab,
24,0,,,lin42_ab,
25,0,,,lin42_ab,
26,0,,,lin42_ab,
27,0,,,lin42_ab,
28,0,,,lin42_ab,
29,0,,,lin42_ab,
30,0,,,lin42_ab,
31,0,,,lin42_ab,
32,0,,,lin42_ab,
33,0,,,lin42_ab,
34,0,,,lin42_ab,
35,0,,,lin42_ab,
36,0,,,lin42_ab,
37,0,,,lin42_ab,
38,0,,,lin42_ab,
39,0,,,lin42_ab,
40,0,,,lin42_ab,
41,0,,,lin42_ab,
42,0,,,lin42_ab,
43,0,,,lin42_ab,
44,0,,,lin42_ab,
45,0,,,lin42_ab,
46,0,,,lin42_ab,
47,0,,,lin42_ab,
48,1,15,195,control,control_lin42ab
49,1,10,186,control,control_lin42ab
50,1,18,200,control,control_lin42ab
51,1,18,191,control,control_lin42ab
52,1,16,191,control,control_lin42ab
53,1,25,190,control,control_lin42ab
54,1,15,166,control,control_lin42ab
55,1,15,201,control,control_lin42ab
56,1,18,186,control,control_lin42ab
57,1,17,196,control,control_lin42ab
58,1,9,201,control,control_lin42ab
59,1,17,190,control,control_lin42ab
60,1,18,191,control,control_lin42ab
61,1,17,176,control,control_lin42ab
62,1,2,185,control,control_lin42ab
63,1,9,204,control,control_lin42ab
64,1,13,191,control,control_lin42ab
65,1,8,184,control,control_lin42ab
66,1,11,182,control,control_lin42ab
67,1,9,188,control,control_lin42ab
68,1,16,213,control,control_lin42ab
69,1,17,240,control,control_lin42ab
70,1,18,186,control,control_lin42ab
71,1,16,220,control,control_lin42ab
72,1,11,196,control,control_lin42ab
73,1,16,179,control,control_lin42ab